gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
894783722	71e82020-f762-11e1-a439-00145eb45e9a	urn:catalog:OMNH:OCGR:396	Animalia	Chordata	Mammalia	Rodentia	Cricetidae	Graomys	Graomys griseoflavus		SPECIES	Graomys griseoflavus (Waterhouse, 1837)	Graomys griseoflavus		AR	Las Tumanas, along Hwy 510 at crossing of Rio Tumanas	San Juan	PRESENT		609765e0-4ce8-11db-b80e-b8a03c50a862	-30.865151	-67.323055	301.0						1990-04-05	5	4	1990	2438231	2438231	PRESERVED_SPECIMEN	OMNH	OCGR	396	Arg 451			CC0_1_0		Humphrey, RL			2026-03-05T16:01:12.521Z		GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
894783705	71e82020-f762-11e1-a439-00145eb45e9a	urn:catalog:OMNH:OCGR:399	Animalia	Chordata	Mammalia	Chiroptera	Molossidae	Tadarida	Tadarida brasiliensis		SPECIES	Tadarida brasiliensis (I.Geoffroy, 1824)	Tadarida brasiliensis		AR	Las Tumanas, along Hwy 510 at crossing of Rio Tumanas	San Juan	PRESENT		609765e0-4ce8-11db-b80e-b8a03c50a862	-30.865151	-67.323055	301.0						1990-04-05	5	4	1990	2433011	2433011	PRESERVED_SPECIMEN	OMNH	OCGR	399	Arg 454			CC0_1_0		Campbell, ML; Morales, JC; Ojeda, RA; Humphrey, RL			2026-03-05T16:01:12.519Z		GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
894783692	71e82020-f762-11e1-a439-00145eb45e9a	urn:catalog:OMNH:OCGR:391	Animalia	Chordata	Mammalia	Rodentia	Cricetidae	Graomys	Graomys griseoflavus		SPECIES	Graomys griseoflavus (Waterhouse, 1837)	Graomys griseoflavus		AR	Las Tumanas, along Hwy 510 at crossing of Rio Tumanas	San Juan	PRESENT		609765e0-4ce8-11db-b80e-b8a03c50a862	-30.865151	-67.323055							1990-04-05	5	4	1990	2438231	2438231	PRESERVED_SPECIMEN	OMNH	OCGR	391	Arg 446			CC0_1_0		Pescetti, EA			2026-03-05T16:01:12.520Z		GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
894783625	71e82020-f762-11e1-a439-00145eb45e9a	urn:catalog:OMNH:OCGR:400	Animalia	Chordata	Mammalia	Chiroptera	Molossidae	Tadarida	Tadarida brasiliensis		SPECIES	Tadarida brasiliensis (I.Geoffroy, 1824)	Tadarida brasiliensis		AR	Las Tumanas, along Hwy 510 at crossing of Rio Tumanas	San Juan	PRESENT		609765e0-4ce8-11db-b80e-b8a03c50a862	-30.865151	-67.323055							1990-04-05	5	4	1990	2433011	2433011	PRESERVED_SPECIMEN	OMNH	OCGR	400	Arg 455			CC0_1_0		Morales, JC; Ojeda, RA; Campbell, ML; Humprehy, RL			2026-03-05T16:01:12.646Z		GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
894783591	71e82020-f762-11e1-a439-00145eb45e9a	urn:catalog:OMNH:OCGR:394	Animalia	Chordata	Mammalia	Rodentia	Cricetidae	Graomys	Graomys griseoflavus		SPECIES	Graomys griseoflavus (Waterhouse, 1837)	Graomys griseoflavus		AR	Las Tumanas, along Hwy 510 at crossing of Rio Tumanas	San Juan	PRESENT		609765e0-4ce8-11db-b80e-b8a03c50a862	-30.865151	-67.323055	301.0						1990-04-05	5	4	1990	2438231	2438231	PRESERVED_SPECIMEN	OMNH	OCGR	394	Arg 449			CC0_1_0		Humphrey, RL			2026-03-05T16:01:12.520Z		GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
894783576	71e82020-f762-11e1-a439-00145eb45e9a	urn:catalog:OMNH:OCGR:397	Animalia	Chordata	Mammalia	Rodentia	Cricetidae	Graomys	Graomys griseoflavus		SPECIES	Graomys griseoflavus (Waterhouse, 1837)	Graomys griseoflavus		AR	Las Tumanas, along Hwy 510 at crossing of Rio Tumanas	San Juan	PRESENT		609765e0-4ce8-11db-b80e-b8a03c50a862	-30.865151	-67.323055	301.0						1990-04-05	5	4	1990	2438231	2438231	PRESERVED_SPECIMEN	OMNH	OCGR	397	Arg 452			CC0_1_0		Campbell, ML			2026-03-05T16:01:12.518Z		GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
894783489	71e82020-f762-11e1-a439-00145eb45e9a	urn:catalog:OMNH:OCGR:392	Animalia	Chordata	Mammalia	Rodentia	Cricetidae	Graomys	Graomys griseoflavus		SPECIES	Graomys griseoflavus (Waterhouse, 1837)	Graomys griseoflavus		AR	Las Tumanas, along Hwy 510 at crossing of Rio Tumanas	San Juan	PRESENT		609765e0-4ce8-11db-b80e-b8a03c50a862	-30.865151	-67.323055							1990-04-05	5	4	1990	2438231	2438231	PRESERVED_SPECIMEN	OMNH	OCGR	392	Arg 447			CC0_1_0		Pescetti, EA			2026-03-05T16:01:12.520Z		GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
894783440	71e82020-f762-11e1-a439-00145eb45e9a	urn:catalog:OMNH:OCGR:395	Animalia	Chordata	Mammalia	Rodentia	Cricetidae	Graomys	Graomys griseoflavus		SPECIES	Graomys griseoflavus (Waterhouse, 1837)	Graomys griseoflavus		AR	Las Tumanas, along Hwy 510 at crossing of Rio Tumanas	San Juan	PRESENT		609765e0-4ce8-11db-b80e-b8a03c50a862	-30.865151	-67.323055							1990-04-05	5	4	1990	2438231	2438231	PRESERVED_SPECIMEN	OMNH	OCGR	395	Arg 450			CC0_1_0		Humphrey, RL			2026-03-05T16:01:12.520Z		GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
894783426	71e82020-f762-11e1-a439-00145eb45e9a	urn:catalog:OMNH:OCGR:398	Animalia	Chordata	Mammalia	Rodentia	Cricetidae	Graomys	Graomys griseoflavus		SPECIES	Graomys griseoflavus (Waterhouse, 1837)	Graomys griseoflavus		AR	Las Tumanas, along Hwy 510 at crossing of Rio Tumanas	San Juan	PRESENT		609765e0-4ce8-11db-b80e-b8a03c50a862	-30.865151	-67.323055	301.0						1990-04-05	5	4	1990	2438231	2438231	PRESERVED_SPECIMEN	OMNH	OCGR	398	Arg 453			CC0_1_0		Campbell, ML			2026-03-05T16:01:12.519Z		GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
894783408	71e82020-f762-11e1-a439-00145eb45e9a	urn:catalog:OMNH:OCGR:390	Animalia	Chordata	Mammalia	Chiroptera	Vespertilionidae	Myotis	Myotis levis		SPECIES	Myotis levis (I.Geoffroy, 1824)	Myotis levis		AR	Las Tumanas, along Hwy 510 at crossing of Rio Tumanas	San Juan	PRESENT		609765e0-4ce8-11db-b80e-b8a03c50a862	-30.865151	-67.323055	301.0						1990-04-05	5	4	1990	2432392	2432392	PRESERVED_SPECIMEN	OMNH	OCGR	390	Arg 445			CC0_1_0		Morales, JC; Ojeda, RA			2026-03-05T16:01:12.520Z		GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
